,id_venda,id_filial,id_vendedor,cpf_cliente,forma_pagamento,data_venda,hora_venda,valor_total,desconto,status
0,1,1,1001,123.456.789-00,CARTAO CREDITO,2025-10-01,08:15:00,154.9,0.0,True
1,2,1,1001,,DINHEIRO,2025-10-01,08:42:00,23.5,0.0,True
2,3,2,1005,987.654.321-00,PIX,2025-10-01,09:10:00,89.2,5.0,True
3,4,3,1010,111.222.333-44,CARTAO DEBITO,2025-10-02,10:30:00,345.0,0.0,True
4,5,3,1010,555.666.777-88,CARTAO CREDITO,2025-10-02,11:05:00,123.0,10.0,True
5,6,1,1002,,DINHEIRO,2025-10-03,07:55:00,45.0,0.0,True
6,7,4,1015,999.888.777-66,PIX,2025-10-03,14:20:00,678.0,0.0,True
7,8,5,1020,222.333.444-55,CARTAO DEBITO,2025-10-04,09:00:00,234.0,0.0,True
8,9,2,1005,123.456.789-00,CARTAO CREDITO,2025-10-05,16:30:00,456.0,20.0,True
9,10,6,1025,,DINHEIRO,2025-10-05,10:15:00,78.0,0.0,True
10,11,7,1030,333.444.555-66,PIX,2025-10-06,13:45:00,199.0,0.0,True
11,12,1,1001,444.555.666-77,CARTAO CREDITO,2025-10-07,08:30:00,1560.0,50.0,True
12,13,3,1011,,CARTAO DEBITO,2025-10-08,15:20:00,34.0,0.0,True
13,14,5,1020,777.888.999-00,PIX,2025-10-09,11:00:00,289.0,0.0,True
14,15,2,1006,123.456.789-00,DINHEIRO,2025-10-10,09:45:00,56.0,0.0,False
15,16,4,1015,,CARTAO CREDITO,2025-10-11,17:00:00,890.0,30.0,True
16,17,6,1025,666.777.888-99,CARTAO DEBITO,2025-10-12,08:10:00,132.0,0.0,True
17,18,1,1002,888.999.000-11,PIX,2025-10-13,12:30:00,410.0,0.0,True
18,19,7,1030,,DINHEIRO,2025-10-14,14:55:00,98.0,0.0,True
19,20,3,1010,111.222.333-44,CARTAO CREDITO,2025-10-15,10:20:00,720.0,0.0,True
20,21,1,1001,123.456.789-00,PIX,2025-11-01,08:00:00,187.0,0.0,True
21,22,2,1005,,CARTAO DEBITO,2025-11-01,09:30:00,63.0,0.0,True
22,23,3,1011,555.666.777-88,CARTAO CREDITO,2025-11-02,11:15:00,450.0,0.0,True
23,24,4,1015,222.333.444-55,DINHEIRO,2025-11-03,13:00:00,112.0,0.0,True
24,25,5,1021,,PIX,2025-11-04,15:40:00,334.0,15.0,True
25,26,6,1025,999.888.777-66,CARTAO DEBITO,2025-11-05,08:25:00,276.0,0.0,True
26,27,7,1030,444.555.666-77,CARTAO CREDITO,2025-11-06,10:50:00,840.0,40.0,True
27,28,1,1002,,DINHEIRO,2025-11-07,16:10:00,42.0,0.0,True
28,29,2,1006,333.444.555-66,PIX,2025-11-08,09:05:00,158.0,0.0,True
29,30,3,1010,777.888.999-00,CARTAO DEBITO,2025-11-09,14:30:00,620.0,0.0,True
30,31,1,1001,,CARTAO CREDITO,2025-11-10,07:50:00,95.0,0.0,False
31,32,4,1016,888.999.000-11,PIX,2025-11-11,11:20:00,280.0,0.0,True
32,33,5,1020,123.456.789-00,DINHEIRO,2025-11-12,13:35:00,71.0,0.0,True
33,34,6,1025,,CARTAO DEBITO,2025-11-13,08:45:00,194.0,0.0,True
34,35,7,1031,666.777.888-99,CARTAO CREDITO,2025-11-14,17:25:00,530.0,25.0,True
35,36,1,1001,111.222.333-44,PIX,2025-11-15,10:00:00,312.0,0.0,True
36,37,2,1005,987.654.321-00,DINHEIRO,2025-11-16,12:15:00,89.0,0.0,True
37,38,3,1011,,CARTAO DEBITO,2025-11-17,09:40:00,147.0,0.0,True
38,39,4,1015,222.333.444-55,CARTAO CREDITO,2025-11-18,15:00:00,960.0,50.0,True
39,40,5,1021,444.555.666-77,PIX,2025-11-19,11:30:00,223.0,0.0,True
40,41,1,1001,123.456.789-00,CARTAO CREDITO,2025-12-01,08:20:00,480.0,0.0,True
41,42,1,1002,,PIX,2025-12-01,09:00:00,135.0,0.0,True
42,43,2,1005,987.654.321-00,CARTAO DEBITO,2025-12-02,10:45:00,298.0,0.0,True
43,44,3,1010,555.666.777-88,CARTAO CREDITO,2025-12-03,14:10:00,670.0,30.0,True
44,45,3,1011,,DINHEIRO,2025-12-04,16:50:00,52.0,0.0,True
45,46,4,1015,999.888.777-66,PIX,2025-12-05,08:35:00,1120.0,0.0,True
46,47,4,1016,222.333.444-55,CARTAO DEBITO,2025-12-06,11:55:00,384.0,0.0,True
47,48,5,1020,777.888.999-00,CARTAO CREDITO,2025-12-07,13:20:00,845.0,40.0,True
48,49,6,1025,,DINHEIRO,2025-12-08,09:15:00,67.0,0.0,True
49,50,6,1026,333.444.555-66,PIX,2025-12-09,15:30:00,412.0,0.0,True
50,51,7,1030,888.999.000-11,CARTAO CREDITO,2025-12-10,10:40:00,730.0,0.0,True
51,52,7,1031,,CARTAO DEBITO,2025-12-11,14:00:00,189.0,0.0,True
52,53,1,1001,444.555.666-77,PIX,2025-12-12,08:05:00,1590.0,80.0,True
53,54,2,1006,123.456.789-00,CARTAO CREDITO,2025-12-13,12:25:00,345.0,0.0,True
54,55,3,1010,,DINHEIRO,2025-12-14,09:50:00,81.0,0.0,True
55,56,5,1021,666.777.888-99,PIX,2025-12-15,16:15:00,550.0,20.0,True
56,57,1,1002,111.222.333-44,CARTAO DEBITO,2025-12-16,07:45:00,210.0,0.0,False
57,58,4,1015,,CARTAO CREDITO,2025-12-17,13:40:00,475.0,0.0,True
58,59,6,1025,987.654.321-00,PIX,2025-12-18,10:10:00,620.0,0.0,True
59,60,7,1030,999.888.777-66,DINHEIRO,2025-12-19,11:00:00,143.0,0.0,True
