,id_funcionario,nome_completo,cpf_funcionario,data_nascimento,data_admissao,data_demissao,id_cargo,departamento,id_filial,salario,email,telefone,endereco,cep,status
0,1001,MARIA FERNANDA OLIVEIRA SILVA,123.456.789-00,1992-03-15,2020-02-10,,4,VENDAS,1,3200.0,maria.silva@farmavida.com.br,(11) 98888-1001,"RUA AUGUSTA, 1200, APTO 45, CENTRO, SÃO PAULO - SP",01310-000,True
1,1002,CARLOS EDUARDO SANTOS,987.654.321-00,1988-07-22,2019-05-15,,3,VENDAS,1,2500.0,carlos.santos@farmavida.com.br,(11) 98888-1002,"AV PAULISTA, 800, BELA VISTA, SAO PAULO - SP",01310-100,True
2,1003,ANA CAROLINA MENDES,111.222.333-44,1985-11-08,2018-01-10,,6,ADMINISTRATIVO,1,11000.0,ana.mendes@farmavida.com.br,(11) 98888-1003,"RUA OSCAR FREIRE, 300, JARDINS, SÃO PAULO - SP",01426-001,True
3,1004,LUCAS HENRIQUE PEREIRA,555.666.777-88,1995-01-30,2021-08-01,,7,ESTOQUE,1,2200.0,lucas.pereira@farmavida.com.br,(11) 98888-1004,"RUA DA CONSOLAÇÃO, 1500, CENTRO, SP",01302-001,True
4,1005,JULIANA CRISTINA ALMEIDA,222.333.444-55,1990-05-18,2020-03-20,,4,VENDAS,2,3100.0,juliana.almeida@farmavida.com.br,(11) 98888-1005,"AL DOS ANAPURUS, 500, MOEMA, SÃO PAULO - SP",04087-000,True
5,1006,PEDRO HENRIQUE COSTA,333.444.555-66,1993-09-12,2021-06-10,,3,VENDAS,2,2400.0,pedro.costa@farmavida.com.br,(11) 98888-1006,"R NORMANDIA, 200, MOEMA, SAO PAULO",04516-001,True
6,1007,ROBERTO SILVA NETO,444.555.666-77,1980-12-25,2017-09-01,,6,ADMINISTRATIVO,2,10500.0,roberto.neto@farmavida.com.br,(11) 98888-1007,"AV IBIRAPUERA, 3000, MOEMA, SÃO PAULO - SP",04029-200,True
7,1010,FERNANDA COSTA LIMA,666.777.888-99,1987-04-03,2018-11-15,,2,FARMÁCIA,3,9200.0,fernanda.lima@farmavida.com.br,(21) 99999-1010,"AV RIO BRANCO, 150, CENTRO, RIO DE JANEIRO - RJ",20040-001,True
8,1011,RAFAEL AUGUSTO MARTINS,777.888.999-00,1991-08-20,2020-04-05,,3,VENDAS,3,2600.0,rafael.martins@farmavida.com.br,(21) 99999-1011,"RUA BUENOS AIRES, 80, CENTRO, RJ",20070-001,True
9,1012,ISABELA RODRIGUES SOUZA,888.999.000-11,1994-02-14,2021-07-20,,5,VENDAS,3,2000.0,isabela.souza@farmavida.com.br,(21) 99999-1012,"RUA DO OUVIDOR, 50, CENTRO, RIO DE JANEIRO",20040-030,True
10,1013,THIAGO NASCIMENTO ARAÚJO,999.000.111-22,1989-10-08,2019-02-10,2024-09-30,7,ESTOQUE,3,2300.0,,(21) 99999-1013,,,False
11,1015,MARCOS AURELIO SANTOS,101.112.131-41,1983-06-17,2017-08-01,,6,ADMINISTRATIVO,4,10800.0,marcos.santos@farmavida.com.br,(21) 99999-1015,"AV DAS AMERICAS, 4000, BARRA DA TIJUCA, RJ",22640-100,True
